No.;Time;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
414;143,407469;;143,407469;143,452618;0,045149;;0,04298;0,002028;-0,040952
415;143,452618;;143,452618;143,454787;0,002169;;0,002028;-0,001919;-0,003947
416;143,454787;;143,454787;143,454928;0,000141;;-0,001919;0,001881;0,0038
417;143,454928;;143,454928;143,456988;0,00206;;0,001881;-0,003456;-0,005337
418;143,456988;;143,456988;143,457167;0,000179;;-0,003456;0,003635;0,007091
419;143,457167;;143,457167;143,460802;0,003635;;0,003635;-0,000159;-0,003794
420;143,460802;;143,460802;143,460802;0;;-0,000159;-0,002699;-0,00254
421;143,460802;;143,460802;143,460961;0,000159;;-0,002699;0,002858;0,005557
422;143,460961;;143,460961;143,463819;0,002858;;0,002858;-0,000131;-0,002989
423;143,463819;;143,463819;143,463819;0;;-0,000131;-0,002161;-0,00203
424;143,463819;;143,463819;143,46395;0,000131;;-0,002161;-0,036197;-0,034036
425;143,46395;;143,46395;143,466242;0,002292;;-0,036197;0,037531;0,073728
426;143,466242;;143,466242;143,504731;0,038489;;0,037531;0,000872;-0,036659
427;143,504731;;143,504731;143,505689;0,000958;;0,000872;-0,002707;-0,003579
428;143,505689;;143,505689;143,505775;8,60E-05;;-0,002707;0,002685;0,005392
429;143,505775;;143,505775;143,508568;0,002793;;0,002685;-0,000642;-0,003327
430;143,508568;;143,508568;143,508676;0,000108;;-0,000642;0,000629;0,001271
431;143,508676;;143,508676;143,509426;0,00075;;0,000629;-0,003022;-0,003651
432;143,509426;;143,509426;143,509547;0,000121;;-0,003022;0,003143;0,006165
433;143,509547;;143,509547;143,51269;0,003143;;0,003143;-0,000163;-0,003306
434;143,51269;;143,51269;143,51269;0;;-0,000163;-0,002203;-0,00204
435;143,51269;;143,51269;143,512853;0,000163;;-0,002203;-0,037634;-0,035431
436;143,512853;;143,512853;143,515219;0,002366;;-0,037634;0,039843;0,077477
437;143,515219;;143,515219;143,555219;0,04;;0,039843;-0,001314;-0,041157
438;143,555219;;143,555219;143,555376;0,000157;;-0,001314;0,00135;0,002664
439;143,555376;;143,555376;143,556847;0,001471;;0,00135;-0,001595;-0,002945
440;143,556847;;143,556847;143,556968;0,000121;;-0,001595;0,001547;0,003142
441;143,556968;;143,556968;143,558684;0,001716;;0,001547;-0,003938;-0,005485
442;143,558684;;143,558684;143,558853;0,000169;;-0,003938;0,003972;0,00791
443;143,558853;;143,558853;143,56296;0,004107;;0,003972;-0,000648;-0,00462
444;143,56296;;143,56296;143,563095;0,000135;;-0,000648;0,000783;0,001431
445;143,563095;;143,563095;143,563878;0,000783;;0,000783;-9,60E-05;-0,000879
446;143,563878;;143,563878;143,563878;0;;-9,60E-05;-0,002096;-0,002
447;143,563878;;143,563878;143,563974;9,60E-05;;-0,002096;-0,044633;-0,042537
448;143,563974;;143,563974;143,566166;0,002192;;-0,044633;0,045332;0,089965
449;143,566166;;143,566166;143,612991;0,046825;;0,045332;0,001394;-0,043938
450;143,612991;;143,612991;143,614484;0,001493;;0,001394;-0,002531;-0,003925
451;143,614484;;143,614484;143,614583;9,90E-05;;-0,002531;0,00263;0,005161
452;143,614583;;143,614583;143,617213;0,00263;;0,00263;-0,000124;-0,002754
